ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
130M,130,M,S2,44,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.156558572,0.072894701,0,156.559,0,0,156.559,0,1,1
170#,170,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.313765238,0.142207553,0,313.765,0,0,313.765,0,1,0
170M,170,M,S2,22,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.022067918,0.011085566,0,22.068,0,0,22.068,0,1,1
191#,191,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.005590928,0.002962029,0,5.591,0,0,5.591,0,1,0
191M,191,M,S2,46,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.015873732,0.008076454,0,15.874,0,0,15.874,0,1,1
195#,195,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.008363653,0.004362371,0.001637799,8.364,1.638,0,10.002,0,1,0
195F,195,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,3.58E-06,2.52E-06,0,0,0,0,0,1,0,0
250#,250,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.001754974,0.000972474,0,1.755,0,0,1.755,0,1,0
250F,250,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,6.91E-06,4.75E-06,7.13E-06,0,0,0,0,1,0,0
251#,251,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.008974561,0.00466824,0,8.975,0,0,8.975,0,1,0
251F,251,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,5.34E-05,3.39E-05,6.98E-06,0,0,0,0,1,0,0
254#,254,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.007574432,0.003965929,0,7.574,0,0,7.574,0,1,0
254F,254,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,1.72E-06,1.24E-06,9.32E-07,0,0,0,0,1,0,0
267#,267,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.020811221,0.010478061,0,20.811,0,0,20.811,0,1,0
267F,267,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.000540218,0.000313334,1.15E-04,0.54,0.115,0,0.655,0,1,0
274#,274,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.101703524,0.048152134,0,101.704,0,0,101.704,0,1,0
274M,274,M,S2,30,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,1.183526878,0.509507717,0,1183.527,0,0,1183.527,0,1,1
287#,287,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.285748523,0.129979871,0,285.749,0,0,285.749,0,1,0
287M,287,M,S2,30,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_041,P1-E1,56.25,33.33,3284.201,2,Mtr,0.08728673,0.041571972,0,87.287,0,0,87.287,0,1,1
4#,4,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.014980226,0.007638976,0,14.98,0,0,14.98,0,1,0
4M,4,M,S2,34,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.252362592,0.115347524,0,252.363,0,0,252.363,0,1,1
8#,8,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.009930442,0.005145234,0,9.93,0,0,9.93,0,1,0
8M,8,M,S2,35,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.002113032,0.001162488,0,2.113,0,0,2.113,0,1,1
31#,31,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.045861964,0.022394272,0,45.862,0,0,45.862,0,1,0
31M,31,M,S2,40,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.220709992,0.101405371,0,220.71,0,0,220.71,0,1,1
40#,40,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.015940351,0.008109033,0,15.94,0,0,15.94,0,1,0
40M,40,M,S2,44,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.819834525,0.357996212,0,819.835,0,0,819.835,0,1,1
42#,42,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.033970522,0.01678179,0,33.971,0,0,33.971,0,1,0
42M,42,M,S2,34,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.281787149,0.128247307,0,281.787,0,0,281.787,0,1,1
95#,95,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.023449554,0.011751924,0,23.45,0,0,23.45,0,1,0
95M,95,M,S2,52,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.007289158,0.003822243,0.003260647,7.289,3.261,0,10.55,0,1,1
112#,112,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.016552648,0.008408223,0,16.553,0,0,16.553,0,1,0
112M,112,M,S2,27,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.053102157,0.025782756,0,53.102,0,0,53.102,0,1,1
155#,155,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.017405784,0.008824386,0,17.406,0,0,17.406,0,1,0
155M,155,M,S2,44,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.04349246,0.021280956,0,43.492,0,0,43.492,0,1,1
194#,194,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.012312206,0.00632636,0,12.312,0,0,12.312,0,1,0
194M,194,M,S2,36,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.121856696,0.057290965,0,121.857,0,0,121.857,0,1,1
209#,209,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.002130805,0.001171885,0,2.131,0,0,2.131,0,1,0
209F,209,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,1.32E-05,8.86E-06,2.52E-05,0,0,0,0,1,0,0
210#,210,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.013970254,0.007143251,0,13.97,0,0,13.97,0,1,0
210M,210,M,S2,34,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.27594782,0.125691667,0,275.948,0,0,275.948,0,1,1
262#,262,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.004478012,0.002392911,0.002958013,4.478,2.958,0,7.436,0,1,0
262M,262,M,S2,41,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0,0,0,0,0,0,0,1,0,1
280#,280,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.051604004,0.02508316,0,51.604,0,0,51.604,0,1,0
280M,280,M,S2,31,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.791715553,0.346185455,0,791.716,0,0,791.716,0,1,1
300#,300,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.004092419,0.002194507,0.000794947,4.092,0.795,0,4.887,0,1,0
300M,300,M,S2,49,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.024987361,0.012491819,0.019932795,24.987,19.933,0,44.92,0,1,1
309#,309,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.007350469,0.003853142,0,7.35,0,0,7.35,0,1,0
309M,309,M,S2,52,Coinfected,2980000,1490000,E-P Coinfection,GxB,168_172,P1-E2,93.75,13.33,3175.471,2,Mtr,0.00624281,0.003293284,0.00328042,6.243,3.28,0,9.523,0,1,1
15#,15,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.002848723,0.001549189,0.00406441,2.849,4.064,0,6.913,0,1,0
15M,15,M,S2,56,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.367925847,0,367.926,0,367.926,0,1,1
23#,23,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.013738493,0,13.738,0,13.738,0,1,0
23M,23,M,S2,47,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,3.226221121,0,3226.221,0,3226.221,0,1,1
30#,30,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.014198249,0,14.198,0,14.198,0,1,0
30M,30,M,S2,39,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,1.716886201,0,1716.886,0,1716.886,0,1,1
65#,65,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.029647772,0,29.648,0,29.648,0,1,0
65M,65,M,S2,40,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.259099843,0,259.1,0,259.1,0,1,1
84#,84,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.002451743,0.001341081,0.006947259,2.452,6.947,0,9.399,0,1,0
84M,84,M,S2,37,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.580574682,0,580.575,0,580.575,0,1,1
120#,120,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.002586129,0,2.586,0,2.586,0,1,0
120F,120,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.012141077,0,12.141,0,12.141,0,1,0
133#,133,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.000754699,0.000432101,0.001208899,0.755,1.209,0,1.964,0,1,0
133F,133,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,7.42E-06,5.08E-06,6.13E-05,0,0,0,0,1,0,0
156#,156,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.001453526,0.000811339,0.001979402,1.454,1.979,0,3.433,0,1,0
156F,156,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,7.49E-06,5.13E-06,6.54E-05,0,0,0,0,1,0,0
244#,244,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.003565385,0,3.565,0,3.565,0,1,0
244F,244,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,1.59E-06,1.16E-06,2.25E-06,0,0,0,0,1,0,0
269#,269,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.00094032,0,0.94,0,0.94,0,1,0
269F,269,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,2.14E-06,1.54E-06,3.68E-06,0,0,0,0,1,0,0
275#,275,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.000623758,0.000359778,0.00147287,0.624,1.473,0,2.097,0,1,0
275M,275,M,S2,50,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.034787915,0,34.788,0,34.788,0,1,1
295#,295,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.000685873,0.000394152,0.003195592,0.686,3.196,0,3.882,0,1,0
295M,295,M,S2,57,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.082201196,0.039241075,0.518265687,82.201,518.266,0,600.467,0,1,1
306#,306,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.001313613,0.000736123,0.005278227,1.314,5.278,0,6.592,0,1,0
306F,306,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,2.75E-06,0,0,0,0,1,0,0
328#,328,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0.001609464,0.00089484,0.005889022,1.609,5.889,0,7.498,0,1,0
328M,328,M,S2,56,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_041,P2-E1,50,92.86,93.944,2,Mtr,0,0,0.201400781,0,201.401,0,201.401,0,1,1
10#,10,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.005903763,0.003121173,0.008836083,5.904,8.836,0,14.74,0,1,0
10M,10,M,S2,43,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.127334842,0.059764577,0.285800215,127.335,285.8,0,413.135,0,1,1
41#,41,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.001998273,0.001101735,0.001924334,1.998,1.924,0,3.922,0,1,0
41M,41,M,S2,64,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.157711875,0,157.712,0,157.712,0,1,1
52#,52,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.015973765,0.008125372,0.006197494,15.974,6.197,0,22.171,0,1,0
52M,52,M,S2,45,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.074670213,0,74.67,0,74.67,0,1,1
69#,69,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.000817206,0.000466448,0.000430209,0.817,0.43,0,1.247,0,1,0
69F,69,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.021260631,0,21.261,0,21.261,0,1,0
70#,70,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.002374272,0.001300322,0.001565718,2.374,1.566,0,3.94,0,1,0
70M,70,M,S2,49,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.720777759,0,720.778,0,720.778,0,1,1
77#,77,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.009371475,0.004866531,0.007591445,9.371,7.591,0,16.962,0,1,0
77M,77,M,S2,53,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.181728693,0,181.729,0,181.729,0,1,1
102#,102,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.010596457,0.005476519,0.005833896,10.596,5.834,0,16.43,0,1,0
102M,102,M,S2,51,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.1833227,0,183.323,0,183.323,0,1,1
113#,113,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.000675217,0,0.675,0,0.675,0,1,0
113M,113,M,S2,60,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.045880604,0,45.881,0,45.881,0,1,1
116#,116,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.001365201,0,1.365,0,1.365,0,1,0
116M,116,M,S2,63,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.219927893,0,219.928,0,219.928,0,1,1
138#,138,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.002586129,0,2.586,0,2.586,0,1,0
138M,138,M,S2,50,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.293978807,0,293.979,0,293.979,0,1,1
143#,143,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.00043208,0.000252791,0.000919704,0.432,0.92,0,1.352,0,1,0
143M,143,M,S2,53,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.210248598,0,210.249,0,210.249,0,1,1
153#,153,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.001005459,0.000569308,0.001751603,1.005,1.752,0,2.757,0,1,0
153M,153,M,S2,47,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.012964873,0.006648397,0.036097292,12.965,36.097,0,49.062,0,1,1
179#,179,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.001320968,0.000740085,0.003059057,1.321,3.059,0,4.38,0,1,0
179M,179,M,S2,69,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.02254023,0,22.54,0,22.54,0,1,1
304#,304,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.001047731,0.000592297,0.002080288,1.048,2.08,0,3.128,0,1,0
304F,304,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,1.14E-04,0,0.114,0,0.114,0,1,0
316#,316,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.000609129,0.000351664,0.000456408,0.609,0.456,0,1.065,0,1,0
316F,316,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,0.000377642,0,0.378,0,0.378,0,1,0
333#,333,#,S1,21,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0.004755053,0.002535048,0.003223621,4.755,3.224,0,7.979,0,1,0
333F,333,F,S2,76,Coinfected,2980000,1490000,E-P Coinfection,GxB,198_172,P2-E2,75,87.5,196.504,2,Mtr,0,0,9.60E-05,0,0,0,0,1,0,0
24#,24,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.006419567,0.003382867,0.012198304,0,12.19830397,3.382866999,15.58117097,0,1,0
24M,24,M,S2,36,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0,0,0.050744798,0,50.74479795,0,50.74479795,0,1,1
54#,54,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000910581,0.00051757,0.000827644,0,0.827643653,0.517570298,1.345213951,0,1,0
54F,54,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.081288272,0.038822064,0.048936969,0,48.93696864,38.82206368,87.75903232,0,1,0
67#,67,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0,0,0.000808954,0,0.808954158,0,0.808954158,0,1,0
67M,67,M,S2,49,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.112457452,0.053036643,0.033593669,0,33.59366906,53.03664264,86.6303117,0,1,1
85#,85,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.083706617,0.039931635,0.138720381,0,138.720381,39.93163503,178.6520161,0,1,0
85M,85,M,S2,32,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.107769698,0.050909765,0.093076742,0,93.07674169,50.90976539,143.9865071,0,1,1
104#,104,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.008684916,0.004523325,0.004320627,0,4.320626632,4.523324838,8.843951469,0,1,0
104M,104,M,S2,41,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.349616249,0.157793267,0.204674216,0,204.6742156,157.7932665,362.4674821,0,1,1
144#,144,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.001162566,0.000654571,0.001235168,0,1.235167879,0.65457082,1.889738698,0,1,0
144F,144,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,8.13E-06,5.55E-06,4.99E-06,0,0,0,0,1,0,0
147#,147,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.021883848,0.010996669,0.014188715,0,14.18871451,10.99666882,25.18538333,0,1,0
147M,147,M,S2,38,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.175791625,0.081483013,0.144232036,0,144.232036,81.4830128,225.7150488,0,1,1
198#,198,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000152716,9.30E-05,9.80E-05,0,0,0,0,1,0,0
198F,198,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0,0,0.015093293,0,15.09329251,0,15.09329251,0,1,0
222#,222,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000930499,0.000528448,0.001377176,0,1.377175793,0.528448301,1.905624094,0,1,0
222F,222,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0,0,0.00700349,0,7.003489886,0,7.003489886,0,1,0
233#,233,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000880578,0.000501167,0.000811131,0,0.811130831,0.501167058,1.312297888,0,1,0
233F,233,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,1.11E-05,7.51E-06,8.67E-06,0,0,0,0,1,0,0
276#,276,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.006164866,0.00325375,0.004358524,0,4.358524379,3.253749928,7.612274308,0,1,0
276M,276,M,S2,51,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.021251607,0.010691107,0.041930952,0,41.93095156,10.69110686,52.62205842,0,1,1
283#,283,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000675892,0.000388638,0.000817696,0,0.817696052,0.388637627,1.206333679,0,1,0
283F,283,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,8.56E-06,5.83E-06,3.50E-05,0,0,0,0,1,0,0
288#,288,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.002273714,0.001247339,0.002324139,0,2.324139049,1.247339325,3.571478374,0,1,0
288F,288,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000494046,0.000287548,0.000119807,0,0.119806552,0.287547579,0.407354131,0,1,0
303#,303,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.000233287,0.000139786,0.000372602,0,0.372602004,0.139785789,0.512387793,0,1,0
303F,303,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,4.49E-06,3.14E-06,4.77E-06,0,0,0,0,1,0,0
323#,323,#,S1,21,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0.00105802,0.000597886,0.000947931,0,0.94793106,0.597886413,1.545817472,0,1,0
323F,323,F,S2,76,Coinfected,2980000,1490000,R Coinfection,B41xH,41_24,E1-R,,,,,Mtr,0,0,0.000279872,0,0.279872336,0,0.279872336,0,1,0
