ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
319M,319,M,S2,40,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.602831664,0,602.832,0,602.832,0,1,1
325#,325,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.008184654,0,8.185,0,8.185,0,1,0
325M,325,M,S2,43,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.121851997,0,121.852,0,121.852,0,1,1
7#,7,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.024333302,0.01217735,0,24.333,0,0,24.333,0,1,0
7M,7,M,S2,39,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.294866421,0.133964199,0,294.866,0,0,294.866,0,1,1
45#,45,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.090956453,0.043250663,0,90.956,0,0,90.956,0,1,0
45M,45,M,S2,59,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.727086417,0.3189767,0,727.086,0,0,727.086,0,1,1
75#,75,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.195195257,0.090110608,0,195.195,0,0,195.195,0,1,0
75M,75,M,S2,28,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.181781184,0.084149959,0,181.781,0,0,181.781,0,1,1
87#,87,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.056230207,0.027241028,0,56.23,0,0,56.23,0,1,0
